id,ano,status,ementa,autor,url
542847,2012,Tramitando em Conjunto,"Dá nova redação ao inciso VI do art. 105 da Lei nº 9.503, de 23 de setembro de 1997, estabelecendo o capacete como equipamento de uso obrigatório para condutores de bicicletas.",Onyx Lorenzoni,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=986394
546169,2012,Aguardando Designação de Relator,Concede isenção do IPI - Imposto sobre Produtos Industrializados às bicicletas classificadas na posição 87.12 da Nomenclatura Comum do Mercosul- NCM.,Felipe Bornier,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=996326
550428,2012,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre bicicletas elétricas.",Leonardo Picciani,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1009313
551735,2012,Tramitando em Conjunto,"Desonera as operações com bicicletas, suas partes, peças e acessórios, do pagamento do Imposto sobre Produtos Industrializados - IPI, da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS.",Paulo Pimenta,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1012386
552272,2012,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre bicicletas elétricas",Felipe Bornier,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1015959
552918,2012,Tramitando em Conjunto,"Desonera as operações com bicicletas, suas partes, peças e acessórios, do pagamento do Imposto sobre Produtos Industrializados - IPI, da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS.",Marina Santanna,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1017815
552926,2012,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre bicicletas motorizadas.",Eliene Lima,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1017839
553419,2012,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre bicicletas elétricas, nos termos que menciona.",Otavio Leite,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1019984
562229,2012,Arquivada,"Reconhece o uso da bicicleta como modalidade de transporte regular, obrigando a previsão de um percentual de ciclovias em função da extensão da malha viária urbana.",Audifax,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1046695
565266,2013,Tramitando em Conjunto,"Dispõe sobre o IPI - Imposto sobre Produtos Industrializados, fixando alíquota de zero por cento para as bicicletas (item 8712.00.10 da NCM-Nomenclatura Comum do Mercosul), suas partes e acessórios.",Rogério Peninha Mendonça,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1059328
